Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9990138791718207,0.6757274999136096,0.6298586009737377,0.20075693579922776,False,False,non-shuffled,DP
Anaphase,0.9999628130347399,0.32944317864184275,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
Apoptosis,0.9997898309117531,0.8124370389703363,0.6298586009737377,0.20075693579922776,False,False,non-shuffled,DP
Binuclear,0.9992860173923442,0.3144697428110776,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
Elongated,0.9998514450798514,0.29509085108378424,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
Folded,0.9989773943371874,0.1463035357905785,0.7586219473589562,0.11997459706822935,False,False,non-shuffled,DP
Grape,0.9994163450510997,0.44746735207454125,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
Hole,0.9989119807589754,0.32482780158114466,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
Interphase,0.9981876878296116,0.2959752496221949,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
Large,0.9999077867352203,0.20190428724017614,0.7119563617988438,0.14754662491758347,False,False,non-shuffled,DP
Metaphase,0.9999431121238898,0.27173576581605324,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
MetaphaseAlignment,0.9998593854952837,0.4408118267461675,0.6495089201065962,0.18741488011601734,False,False,non-shuffled,DP
OutOfFocus,0.9996627010197072,0.9034498683769464,0.6298586009737377,0.20075693579922776,False,False,non-shuffled,DP
Polylobed,0.9996092276067423,0.7511571150970923,0.6298586009737377,0.20075693579922776,False,False,non-shuffled,DP
Prometaphase,0.9996419283624919,0.7156685190757273,0.6298586009737377,0.20075693579922776,False,False,non-shuffled,DP
SmallIrregular,0.9996578406175246,0.6530546067938581,0.6298586009737377,0.20075693579922776,False,False,non-shuffled,DP
neg_control,0.9982322572192559,0.03808966554532222,0.9160313444314889,0.038089665545322206,False,False,non-shuffled,DP
