Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.8176545946587415,0.045910338008964054,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Anaphase,0.9496002203447128,0.04846035641065295,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Apoptosis,0.9665098074090845,0.08454298187873464,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Binuclear,0.970923203076929,0.10893271941474503,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Elongated,0.9305100732457511,0.05487393484375449,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Folded,0.9180047704474639,0.048647802035566755,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Grape,0.7915317786114358,0.032913538934712536,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Hole,0.9307416377213087,0.06609621077087097,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Interphase,0.9684390664979079,0.17079393531928277,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Large,0.9458764005068001,0.05951067458205794,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Metaphase,0.9687377116178116,0.08386621197239835,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
MetaphaseAlignment,0.9528397430588988,0.08742541486246559,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
OutOfFocus,0.8664830412346602,0.05745663320035242,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Polylobed,0.9717247167619405,0.11215685621614309,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
Prometaphase,0.9309534518408468,0.07168426614797997,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
SmallIrregular,0.9322674711514743,0.07927332350025108,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
neg_control,0.937381243556286,0.08899107417340675,0.9270143586992866,0.03291353893471253,False,False,phenotypes_shuffled,CP
